country,article_title,date,views
Germany,Germany,,0
Ghana,Ghana,,0
Iran,Iran,20221101,21777
Iran,Iran,20221102,26157
Iran,Iran,20221103,23182
Iran,Iran,20221104,21596
Iran,Iran,20221105,19747
Iran,Iran,20221106,18936
Iran,Iran,20221107,19054
Iran,Iran,20221108,18947
Iran,Iran,20221109,17763
Iran,Iran,20221110,19138
Iran,Iran,20221111,17720
Iran,Iran,20221112,17154
Iran,Iran,20221113,18658
Iran,Iran,20221114,29182
Iran,Iran,20221115,30019
Iran,Iran,20221116,21918
Iran,Iran,20221117,21799
Iran,Iran,20221118,20193
Iran,Iran,20221119,21226
Iran,Iran,20221120,27107
Iran,Iran,20221121,78184
Iran,Iran,20221122,34977
Iran,Iran,20221123,24258
Iran,Iran,20221124,22764
Iran,Iran,20221125,59514
Iran,Iran,20221126,26584
Iran,Iran,20221127,27252
Iran,Iran,20221128,32490
Iran,Iran,20221129,70111
Iran,Iran,20221130,34128
Iran,Iran,20221201,20914
Iran,Iran,20221202,14214
Iran,Iran,20221203,13477
Iran,Iran,20221204,18921
Iran,Iran,20221205,17268
Iran,Iran,20221206,14560
Iran,Iran,20221207,13472
Iran,Iran,20221208,15075
Iran,Iran,20221209,13740
Iran,Iran,20221210,15582
Iran,Iran,20221211,14230
Iran,Iran,20221212,16165
Iran,Iran,20221213,16551
Iran,Iran,20221214,16454
Iran,Iran,20221215,13423
Iran,Iran,20221216,12611
Iran,Iran,20221217,12756
Iran,Iran,20221218,14065
Iran,Iran,20221219,13617
Iran,Iran,20221220,13114
Iran,Iran,20221221,12334
Iran,Iran,20221222,12319
Iran,Iran,20221223,12018
Iran,Iran,20221224,11599
Iran,Iran,20221225,11131
Iran,Iran,20221226,12532
Iran,Iran,20221227,13318
Iran,Iran,20221228,12237
Iran,Iran,20221229,11998
Iran,Iran,20221230,12079
Iran,Iran,20221231,11251
Netherlands,Netherlands,20221101,18771
Netherlands,Netherlands,20221102,21320
Netherlands,Netherlands,20221103,19227
Netherlands,Netherlands,20221104,19161
Netherlands,Netherlands,20221105,18932
Netherlands,Netherlands,20221106,32688
Netherlands,Netherlands,20221107,22202
Netherlands,Netherlands,20221108,20261
Netherlands,Netherlands,20221109,19582
Netherlands,Netherlands,20221110,18092
Netherlands,Netherlands,20221111,18362
Netherlands,Netherlands,20221112,17543
Netherlands,Netherlands,20221113,19045
Netherlands,Netherlands,20221114,19326
Netherlands,Netherlands,20221115,19347
Netherlands,Netherlands,20221116,19765
Netherlands,Netherlands,20221117,19578
Netherlands,Netherlands,20221118,19111
Netherlands,Netherlands,20221119,18509
Netherlands,Netherlands,20221120,24877
Netherlands,Netherlands,20221121,80649
Netherlands,Netherlands,20221122,29884
Netherlands,Netherlands,20221123,23138
Netherlands,Netherlands,20221124,22556
Netherlands,Netherlands,20221125,67192
Netherlands,Netherlands,20221126,25740
Netherlands,Netherlands,20221127,23246
Netherlands,Netherlands,20221128,23225
Netherlands,Netherlands,20221129,43539
Netherlands,Netherlands,20221130,32091
Netherlands,Netherlands,20221201,25232
Netherlands,Netherlands,20221202,21428
Netherlands,Netherlands,20221203,84008
Netherlands,Netherlands,20221204,27894
Netherlands,Netherlands,20221205,21517
Netherlands,Netherlands,20221206,20538
Netherlands,Netherlands,20221207,19184
Netherlands,Netherlands,20221208,18512
Netherlands,Netherlands,20221209,76303
Netherlands,Netherlands,20221210,34790
Netherlands,Netherlands,20221211,20664
Netherlands,Netherlands,20221212,19406
Netherlands,Netherlands,20221213,18295
Netherlands,Netherlands,20221214,17349
Netherlands,Netherlands,20221215,15797
Netherlands,Netherlands,20221216,14046
Netherlands,Netherlands,20221217,13750
Netherlands,Netherlands,20221218,14581
Netherlands,Netherlands,20221219,16921
Netherlands,Netherlands,20221220,15332
Netherlands,Netherlands,20221221,13768
Netherlands,Netherlands,20221222,13203
Netherlands,Netherlands,20221223,13332
